canonical_path,archive_path,records,bytes,sha256,status
data\external\sma_gda_baseline.jsonl,artifacts\runs\pre_improvement_baseline_2026-06-09\canonical_outputs\data\external\sma_gda_baseline.jsonl,164,19677,f02cb91fb0e6e75debcd549b615aadb6d7a50965cd9ea3bff3eebb13444b76cb,archived
data\raw\pubmed_sma_abstracts.jsonl,artifacts\runs\pre_improvement_baseline_2026-06-09\canonical_outputs\data\raw\pubmed_sma_abstracts.jsonl,4555,7761720,21015fe3963a1ed038e3aa5e43fc719cb3bd823e9903630aaa78d5d336e91aaa,archived
data\processed\clustered_abstracts.jsonl,artifacts\runs\pre_improvement_baseline_2026-06-09\canonical_outputs\data\processed\clustered_abstracts.jsonl,1840,3287395,50fe1629f3a413d29e810d3884c344691b7fe2aeea97ca4267fd335de446cb08,archived
data\processed\llm_extracted_triples.jsonl,artifacts\runs\pre_improvement_baseline_2026-06-09\canonical_outputs\data\processed\llm_extracted_triples.jsonl,638,164525,95897853f57d6bcd9342a53580a32164bc90a073fc36ff2db22daf1b6e771f40,archived
data\processed\spacy_extracted_triples.jsonl,artifacts\runs\pre_improvement_baseline_2026-06-09\canonical_outputs\data\processed\spacy_extracted_triples.jsonl,5101,1141675,cf4e817ae155a536e0bb86321af9fac2b0e8f025aa02d68870a060e2c8422ac7,archived
data\processed\extracted_triples.jsonl,artifacts\runs\pre_improvement_baseline_2026-06-09\canonical_outputs\data\processed\extracted_triples.jsonl,5738,1305952,02ba3fa780f52228870f2171611448db2910dbbe70f30e3937772bf4104a60b4,archived
data\interim\mapped_triples.jsonl,artifacts\runs\pre_improvement_baseline_2026-06-09\canonical_outputs\data\interim\mapped_triples.jsonl,5738,1411417,eb6787dd6db7f2ae42f23d600b5348dd15a97ba9e1033ced43571417505e6e1b,archived
data\interim\aligned_triples.jsonl,artifacts\runs\pre_improvement_baseline_2026-06-09\canonical_outputs\data\interim\aligned_triples.jsonl,5738,1411344,3213d483e91e8e55ff28242b6a44a06ae5b6d5520a5eb45bf60456cb904c006b,archived
data\processed\fused_triples.jsonl,artifacts\runs\pre_improvement_baseline_2026-06-09\canonical_outputs\data\processed\fused_triples.jsonl,554,215892,b2dcab4262139ea5e4cfa6d6bd770d3720604b588b7d74486e7a9e2b682ce4b9,archived
data\processed\analytics_metrics.csv,artifacts\runs\pre_improvement_baseline_2026-06-09\canonical_outputs\data\processed\analytics_metrics.csv,607,30012,3e3f8c1653a19cd5adcc303664b4a528b37e20dbf798f19a3a5cd668b9ce3116,archived
data\processed\human_evaluation_sample.csv,artifacts\runs\pre_improvement_baseline_2026-06-09\canonical_outputs\data\processed\human_evaluation_sample.csv,100,15696,1eee88882728f28f90a99000ccacc6698492fd3c17940b434f709aaae4a2d0ef,archived
data\processed\human_evaluation_sample_scored.csv,artifacts\runs\pre_improvement_baseline_2026-06-09\canonical_outputs\data\processed\human_evaluation_sample_scored.csv,101,15932,0f68fe57d0679f70ed2ca801e4bb57a575e97b2f4f050abb679e8cbc886190b4,archived
data\processed\llm_novel_discoveries.csv,artifacts\runs\pre_improvement_baseline_2026-06-09\canonical_outputs\data\processed\llm_novel_discoveries.csv,10,618,df0d269d24d746dc204b11a3072610d5e7e8bc89712084e3b2cfbd90d34720b8,archived
docs\graph_viewer.html,artifacts\runs\pre_improvement_baseline_2026-06-09\canonical_outputs\docs\graph_viewer.html,,322717,fe93189804ef2a982bb6c16147c8266e139fe3bc1a90407c6734284bd1d050d0,archived
