Entity,Type,PageRank,Community_ID
Spinal Muscular Atrophy,Disease,0.1444195108784059,3
motor function,Phenotype,0.00969771949312286,0
early-phase outcomes,Phenotype,0.00918147414936837,0
Nusinersen,Drug,0.008753843139237388,5
SMA,Phenotype,0.0071212867655969115,10
SMN1,Gene,0.006652869478346948,1
motor axonal neuropathy,Phenotype,0.006632944314556199,1
Onasemnogene Abeparvovec,Drug,0.006616653579428647,5
SMN protein,Protein,0.006364609202257088,19
muscle weakness,Phenotype,0.005680704162236958,3
motor impairment,Phenotype,0.005158947470962265,0
motor neuron death,Phenotype,0.00512110845246436,18
chromosome 5q13,Gene,0.005092729188590931,3
Risdiplam,Drug,0.005027414802516605,5
AAV gene-replacement therapy,Drug,0.004894074341476925,3
IgA nephropathy,Phenotype,0.004894074341476925,3
ability to breathe,Phenotype,0.004894074341476925,3
ability to swallow,Phenotype,0.004894074341476925,3
absent deep tendon reflexes,Phenotype,0.004894074341476925,3
cardiomegaly,Phenotype,0.004894074341476925,3
cystoid macular edema,Phenotype,0.004894074341476925,3
fat deposition,Phenotype,0.004894074341476925,3
generalized muscle atrophy,Phenotype,0.004894074341476925,3
hip instability,Phenotype,0.004894074341476925,3
impaired pulmonary function,Phenotype,0.004894074341476925,3
infant death,Phenotype,0.004894074341476925,3
interstitial fibrosis,Phenotype,0.004894074341476925,3
loss of motor function,Phenotype,0.004894074341476925,3
perioperative hypokalemia,Phenotype,0.004894074341476925,3
progressive motor neuron loss,Phenotype,0.004894074341476925,3
progressive scoliosis,Phenotype,0.004894074341476925,3
prolonged hospitalisation,Phenotype,0.004894074341476925,3
severe cardiomyopathy,Phenotype,0.004894074341476925,3
ventilatory insufficiency,Phenotype,0.004894074341476925,3
necroptosis,Phenotype,0.003874835761098228,10
death,Phenotype,0.0037023610782361133,4
denervation,Phenotype,0.0035259708538851655,10
p53 pathway,Phenotype,0.003477799835475264,24
SMN-independent approaches,Phenotype,0.0033188759577840597,31
