Entity,Type,PageRank,Community_ID
Spinal Muscular Atrophy,Disease,0.1444195108784059,0
motor function,Phenotype,0.00969771949312286,7
early-phase outcomes,Phenotype,0.00918147414936837,7
Nusinersen,Drug,0.008753843139237388,4
SMA,Phenotype,0.0071212867655969115,52
SMN1,Gene,0.006652869478346948,24
motor axonal neuropathy,Phenotype,0.006632944314556199,24
Onasemnogene Abeparvovec,Drug,0.006616653579428647,4
SMN protein,Protein,0.006364609202257088,39
muscle weakness,Phenotype,0.005680704162236958,0
motor impairment,Phenotype,0.005158947470962265,7
motor neuron death,Phenotype,0.00512110845246436,25
chromosome 5q13,Gene,0.005092729188590931,0
Risdiplam,Drug,0.005027414802516605,4
fat deposition,Phenotype,0.004894074341476925,0
generalized muscle atrophy,Phenotype,0.004894074341476925,0
absent deep tendon reflexes,Phenotype,0.004894074341476925,0
perioperative hypokalemia,Phenotype,0.004894074341476925,0
ability to breathe,Phenotype,0.004894074341476925,0
infant death,Phenotype,0.004894074341476925,0
progressive scoliosis,Phenotype,0.004894074341476925,0
impaired pulmonary function,Phenotype,0.004894074341476925,0
IgA nephropathy,Phenotype,0.004894074341476925,0
cystoid macular edema,Phenotype,0.004894074341476925,0
loss of motor function,Phenotype,0.004894074341476925,0
ability to swallow,Phenotype,0.004894074341476925,0
prolonged hospitalisation,Phenotype,0.004894074341476925,0
cardiomegaly,Phenotype,0.004894074341476925,0
interstitial fibrosis,Phenotype,0.004894074341476925,0
progressive motor neuron loss,Phenotype,0.004894074341476925,0
hip instability,Phenotype,0.004894074341476925,0
AAV gene-replacement therapy,Drug,0.004894074341476925,0
severe cardiomyopathy,Phenotype,0.004894074341476925,0
ventilatory insufficiency,Phenotype,0.004894074341476925,0
necroptosis,Phenotype,0.003874835761098228,52
death,Phenotype,0.0037023610782361133,6
denervation,Phenotype,0.0035259708538851655,52
p53 pathway,Phenotype,0.003477799835475264,38
degeneration of SMN-deficient in vitro cultured primary cerebellum neurons,Phenotype,0.0033188759577840597,26
SMN-independent approaches,Phenotype,0.0033188759577840597,44
multiorgan failure,Phenotype,0.003258356521898656,6
neuromuscular junction dysfunction,Phenotype,0.0030479439676541096,52
spinal muscular atrophy with progressive myoclonic epilepsy,Phenotype,0.003020893687113052,6
myocardial injury,Phenotype,0.0030172549117682733,0
immune-mediated myocarditis,Phenotype,0.0030172549117682733,0
SMN2 exon 7 skipping,Phenotype,0.0029744496332514353,17
refractory shock,Phenotype,0.002732876555844941,6
SMN2 exon 7,Phenotype,0.002716316258301058,4
disease severity,Phenotype,0.0026215959420411872,18
filopodia defects,Phenotype,0.002524256569328039,30
SOD1,Gene,0.002524256569328039,0
motor neuron degeneration,Phenotype,0.002444750699928868,39
survival,Phenotype,0.002344935711632283,7
SMA type 1,Phenotype,0.0022254167609765205,18
respiratory function,Phenotype,0.0022045429654870613,7
scoliosis,Phenotype,0.0021481238160609307,18
quality of life,Phenotype,0.0021269468751000287,5
cytokine-mediated capillary leak syndrome,Phenotype,0.002114803445183896,6
orofacial dysfunction,Phenotype,0.002076356750523337,4
5q SMA,Phenotype,0.002046157525790425,24
SMN,Gene,0.002030861555368055,7
axon regeneration,Phenotype,0.0019794504421223975,7
muscle mass,Phenotype,0.0019282920279860235,49
myocarditis,Phenotype,0.001891219115293136,4
hip dislocation,Phenotype,0.0018806198938555545,18
autism spectrum disorder,Phenotype,0.0018806198938555545,18
disease phenotype,Phenotype,0.0018620737456146886,39
Golgi apparatus morphology,Phenotype,0.0018421854468528677,21
motor outcomes,Phenotype,0.0017816706673583677,4
exon-7 inclusion in SMN2 RNA,Phenotype,0.0017296371808720185,20
synapse number,Phenotype,0.0017296371808720185,31
PAP-associated expression,Phenotype,0.0017296371808720185,32
synapse formation,Phenotype,0.0017296371808720185,29
SMA disease severity,Phenotype,0.0017296371808720185,46
spinal muscular atrophy with congenital bone fractures,Phenotype,0.0017296371808720185,43
motor function development,Phenotype,0.0017296371808720185,37
cardiac involvement,Phenotype,0.0017296371808720185,34
ambulatory status,Phenotype,0.0017296371808720185,15
neurodevelopmental outcomes,Phenotype,0.0017296371808720185,40
feeding outcomes,Phenotype,0.0017296371808720185,48
SCN1A,Gene,0.0017296371808720185,8
clinical severity,Phenotype,0.0017296371808720185,9
endothelial cell oedema,Phenotype,0.0017296371808720185,50
MLKL,Protein,0.0017296371808720185,52
ferroptosis,Phenotype,0.0017296371808720185,54
nusinersen monotherapy,Drug,0.0017296371808720185,47
Spinal Muscular Atrophy (SMA) type II,Phenotype,0.0017296371808720185,12
RIPK3,Protein,0.0017296371808720185,52
profibrotic signaling,Phenotype,0.0017296371808720185,33
abnormal sleep studies,Phenotype,0.0017296371808720185,27
BiPAP use,Phenotype,0.0017296371808720185,16
type 0 phenotype,Phenotype,0.0017296371808720185,10
preservation,Phenotype,0.0017296371808720185,23
selective MN loss,Phenotype,0.0017296371808720185,22
peak ALT magnitude,Phenotype,0.0017296371808720185,1
sexual dysfunction,Phenotype,0.0017296371808720185,41
SMA progression,Phenotype,0.0017296371808720185,45
neonatal onset,Phenotype,0.0017296371808720185,11
Duchenne muscular dystrophy,Phenotype,0.0017280089943543595,51
hypotonia,Phenotype,0.0017170206956186723,24
muscle atrophy,Phenotype,0.00169186079313414,21
familial amyotrophic lateral sclerosis,Phenotype,0.001650083985824734,0
ALS,Phenotype,0.001650083985824734,0
SMN2,Gene,0.0015787390892845362,18
metabolic shift,Phenotype,0.0015366142559791302,39
microtubule dysregulation,Phenotype,0.0015366142559791302,39
muscle development,Phenotype,0.0015366142559791302,39
delayed myotube maturation,Phenotype,0.0015366142559791302,39
myogenic regulatory factors,Protein,0.0015366142559791302,39
transcriptional dysregulation,Phenotype,0.0015366142559791302,39
age at disease onset,Phenotype,0.0015309823337580132,42
serious liver injury,Phenotype,0.0014939094210651256,55
proximal lower limb weakness,Phenotype,0.0014668079810130873,24
neurogenic EMG changes,Phenotype,0.0014668079810130873,24
spinal muscular atrophy type I,Phenotype,0.0014403507021907912,18
independent walking,Phenotype,0.0014224732683232454,49
reduced median nerve cross-sectional area,Phenotype,0.0014005003507002658,52
loss of fascicular structure,Phenotype,0.0014005003507002658,52
BSCB dysfunction,Phenotype,0.0014005003507002658,52
dyslipidemia,Phenotype,0.0014005003507002658,52
delayed NMJ maturation,Phenotype,0.0014005003507002658,52
hepatic steatosis,Phenotype,0.0014005003507002658,52
vascular abnormalities,Phenotype,0.0014005003507002658,52
6 min walk test,Phenotype,0.0013890194625744354,3
Hammersmith Functional Motor Scale-Expanded,Phenotype,0.0013890194625744354,3
complement activation,Phenotype,0.0013883054012331754,6
upper limb function,Phenotype,0.0013803424088872627,7
disease activity,Phenotype,0.0013736771302967222,4
SMA severity,Phenotype,0.0013613246561436463,18
ambulatory patients,Phenotype,0.0013512248119541504,7
FL-SMN protein,Protein,0.0013430113294776432,4
respiratory failure,Phenotype,0.0013430113294776432,4
atelectasis,Phenotype,0.0013430113294776432,4
pneumothorax,Phenotype,0.0013430113294776432,4
spinal muscular atrophy type 1,Phenotype,0.0013430113294776432,4
swallowing difficulties,Phenotype,0.0013430113294776432,4
motor acquisition,Phenotype,0.0013430113294776432,4
respiratory difficulties,Phenotype,0.0013430113294776432,4
nurses,Phenotype,0.0013430113294776432,4
full-length SMN2 mRNA transcripts,Phenotype,0.0013332313829410181,39
p-FOIS,Phenotype,0.001332327486644008,42
delayed timing of peak AST,Phenotype,0.001332327486644008,2
delayed timing of peak ALT,Phenotype,0.001332327486644008,2
motor and survival defects,Phenotype,0.001332327486644008,53
protein S-glutathionylation,Phenotype,0.001332327486644008,7
elevated aminotransferases,Phenotype,0.001332327486644008,55
motor neuron synapse formation,Phenotype,0.001332327486644008,28
filopodia density,Phenotype,0.001332327486644008,28
progression,Phenotype,0.001332327486644008,5
fine motor skill,Phenotype,0.001332327486644008,7
normal motor development,Phenotype,0.001332327486644008,53
apnea-hypopnea index,Phenotype,0.001332327486644008,36
motor circuit development,Phenotype,0.001332327486644008,0
nocturnal oxygenation,Phenotype,0.001332327486644008,36
lifespan,Phenotype,0.001260433351497987,39
paralysis,Phenotype,0.0012561650548917624,0
c.861_864delAAGG,Gene,0.0012515381373344042,24
c.855_858delAGAA,Gene,0.0012515381373344042,24
survival motor neuron protein,Protein,0.0012515381373344042,24
5q spinal muscular atrophy,Phenotype,0.0012515381373344042,24
delayed motor development,Phenotype,0.0012515381373344042,24
SMN deficiency,Phenotype,0.0012515381373344042,6
SMN2 (Exon 7),Gene,0.0012515381373344042,24
Fibro-adipogenic progenitors,Protein,0.0012515381373344042,24
RT-PCR,Drug,0.0012515381373344042,24
adipogenesis,Phenotype,0.0012515381373344042,24
reduced full-length SMN mRNA levels,Phenotype,0.0012515381373344042,24
neuromuscular junction stability,Phenotype,0.0012415138422490343,25
neuroinflammation,Phenotype,0.0012415138422490343,25
Mdm4 alternative splicing,Phenotype,0.0012290085375825466,38
muscle strength,Phenotype,0.0012131345783756048,49
CHOP INTEND score,Phenotype,0.0012059107657532773,42
phenotypic outcomes,Phenotype,0.0011998909219013377,7
disease progression,Phenotype,0.0011998909219013377,17
hnRNP A1,Protein,0.0011998909219013377,17
neurodegeneration,Phenotype,0.0011998909219013377,35
motor symptoms,Phenotype,0.0011998909219013377,35
mis-splicing,Phenotype,0.0011998909219013377,35
Sam68,Protein,0.0011998909219013377,17
myotube formation,Phenotype,0.0011998909219013377,19
myotube maturation,Phenotype,0.0011998909219013377,19
body weight gain,Phenotype,0.0011998909219013377,7
alpha-tubulin,Protein,0.0011998909219013377,19
swallowing development,Phenotype,0.001193939099550263,18
swallowing,Phenotype,0.0011814293950565256,4
headache,Phenotype,0.0011814293950565256,4
SMN-∆7,Gene,0.0011814293950565256,4
clinical improvement,Phenotype,0.0011814293950565256,4
mitochondrial integrity,Phenotype,0.001162051903403432,25
impaired energy metabolism,Phenotype,0.001162051903403432,25
increased reactive oxygen species,Phenotype,0.001162051903403432,25
cytokines driven toxicity,Phenotype,0.001162051903403432,25
quadriceps muscle hypertrophy,Phenotype,0.0011336726395300028,13
longevity,Phenotype,0.0011336726395300028,49
cessation of tube feeding,Phenotype,0.0011336726395300028,14
muscle function,Phenotype,0.0011336726395300028,49
FL-SMN deficiency,Phenotype,0.0011336726395300028,0
weight z-score,Phenotype,0.0011336726395300028,14
body mass index,Phenotype,0.0011336726395300028,42
nutrition outcomes,Phenotype,0.0011336726395300028,14
tube feeding initiation,Phenotype,0.0011336726395300028,14
age at first nusinersen injection,Phenotype,0.0011336726395300028,42
femoral nerve conduction,Phenotype,0.0011336726395300028,13
lower-extremity motor ability,Phenotype,0.0011336726395300028,13
knee joint function,Phenotype,0.0011336726395300028,13
hepatocellular carcinoma,Phenotype,0.0010965997268371152,4
abnormalities in liver function-related parameters,Phenotype,0.0010965997268371152,4
glycosuria,Phenotype,0.0010965997268371152,4
transient rise in neurofilament light-chain levels,Phenotype,0.0010965997268371152,4
motor milestones,Phenotype,0.0010965997268371152,4
proteinuria,Phenotype,0.0010965997268371152,4
