Entity,Type,PageRank,Community_ID
Spinal Muscular Atrophy,Disease,0.10572909338693191,117
motor function,Phenotype,0.007781340869684976,123
reduced levels of the survival motor neuron (SMN) protein,Phenotype,0.00710081645095924,39
SMA,Phenotype,0.006241746045406922,57
Spinal muscular atrophy (SMA),Phenotype,0.006181204388041726,39
Nusinersen,Drug,0.00600500253782787,72
survival,Phenotype,0.005937222807576366,123
360 neuroactive or CNS disease-related compounds,Drug,0.005624785960418378,117
CMAP(neuro) platform,Platform,0.0050967432764749765,117
OAV101 IT,Drug,0.005078272565052268,39
drugs,Drug,0.0046826620854900245,117
motor outcomes,Phenotype,0.0045998458472930335,4
pathogenesis,Phenotype,0.004524539018755355,117
communication differences,Phenotype,0.0044756214899975486,117
social differences,Phenotype,0.0044756214899975486,117
cognitive differences,Phenotype,0.0044756214899975486,117
behavioural differences,Phenotype,0.0044756214899975486,117
SMN1 deletion,Genetic,0.0044756214899975486,117
systemic disorder,Phenotype,0.0044756214899975486,117
ASD,Disease,0.0044756214899975486,117
underlying patient genetics,Phenotype,0.0044756214899975486,117
degeneration of spinal cord motor neurons and neuromuscular junctions,Phenotype,0.0044756214899975486,117
severe motor and communicative limitations,Phenotype,0.0044756214899975486,117
mitochondrial dysfunction,Phenotype,0.0044756214899975486,117
induced pluripotent stem cells,Cell,0.0044756214899975486,117
motor neuron disease,Phenotype,0.0044756214899975486,117
controls,Control,0.0044756214899975486,117
SMN-restoring disease-modifying therapies,Drug,0.0044756214899975486,123
tailored assessments and continuous behavioral surveillance,Procedure,0.0044756214899975486,117
lipid accumulation,Phenotype,0.0044756214899975486,117
"1,203 couples",Population,0.0033556150206719613,39
cohort of 104 patients,Patient,0.003214907205619984,107
good sleepers,Phenotype,0.003214907205619984,86
pathology,Phenotype,0.003214907205619984,22
outcomes,Phenotype,0.002718009776438041,4
Type IV SMA,Disease,0.002710679118379139,57
vitality and morphology,Phenotype,0.002593785419142555,83
SMA plasma samples,Phenotype,0.002593785419142555,8
SMA hallmarks,Phenotype,0.002593785419142555,87
newer therapeutic agents,Drug,0.0025007063166085273,60
smaller CSA,Phenotype,0.002103258163613216,40
Hammersmith Functional Motor Scale Expanded (HFMSE),Phenotype,0.0020527605120481142,123
enrolled SMA patients,Patient,0.0020527605120481142,123
Children's Hospital of Philadelphia Infant Test of Neuromuscular Disorders (CHOP INTEND),Phenotype,0.0020527605120481142,123
central nervous system,Anatomy,0.0020338178894122112,39
"communication, socialization, and daily living skills",Phenotype,0.0019951263793919647,117
SMA population,Population,0.0019951263793919647,117
cognitive and adaptive impairments,Phenotype,0.0019951263793919647,117
SMN deficit,Condition,0.001972663632665127,21
candidate approaches,Therapy,0.001972663632665127,23
formation of complex concatemeric DNA structures,Phenotype,0.001972663632665127,64
splicing alterations,Phenotype,0.001972663632665127,102
SMN deficiency,Disease,0.001972663632665127,17
HC,Phenotype,0.001972663632665127,85
SMA diagnosis,Phenotype,0.0019674593206145006,26
diagnostic and prognostic importance for SMA disease,Phenotype,0.0019348950536483501,109
therapeutic target beyond SMN restoration,Phenotype,0.0018795845301310989,34
non-invasive prenatal SMA detection,Phenotype,0.0018795845301310989,27
SMN protein,Protein,0.0018098950892604364,39
Hutterite individuals,Population,0.0017913390027031759,57
SMA type 4,SubPhenotype,0.0017913390027031759,57
SMA type 3b,SubPhenotype,0.0017913390027031759,57
biomarkers,Entity,0.0017913390027031759,57
therapies,Drug,0.0017913390027031759,57
other pathways,Phenotype,0.0016789497994715414,123
early therapeutic intervention,Procedure,0.0016241806735511647,5
29,Score,0.0016155631881593986,113
children with SMA,Patient,0.0016155631881593986,40
type 1 spinal muscular atrophy patients,Patient,0.0015997231496307218,123
39,Score,0.0015275560741688321,109
SMA patients from controls,Phenotype,0.0015275560741688321,109
improvement,Phenotype,0.0015220639059803159,0
"GABA metabolism, release and reuptake",Process,0.0014954518389445625,11
type 3 spinal muscular atrophy patients,Patient,0.0014483199324285027,72
respiratory function,Phenotype,0.0013756055290721084,5
gene therapy,Phenotype,0.00136556067850478,0
,Unknown,0.0013515418461876984,122
3 degrees per year,QuantitativeValue,0.0013515418461876984,121
OA only,Drug,0.0013515418461876984,1
transition to OA after > 3 months of 1st treatment,Drug,0.0013515418461876984,3
transition to OA within 3 months of starting nusinersen or risdiplam,Drug,0.0013515418461876984,2
long term,Time,0.0013515418461876984,44
endothelial cell function,Phenotype,0.0013515418461876984,90
peripheral factors,Factor,0.0013515418461876984,39
cystatin C eGFR,Phenotype,0.0013515418461876984,67
neuroinflammatory and neurotoxicity signaling,Pathway,0.0013515418461876984,38
marked hyperCKaemia,Phenotype,0.0013515418461876984,97
lower motor neuron disorders,Phenotype,0.0013515418461876984,95
slowly progressive distal spinal muscular atrophy phenotype,Phenotype,0.0013515418461876984,96
9% to 60%,Percentage,0.0013515418461876984,101
children with SMA type 1,Patient,0.0013515418461876984,100
technical feasibility and safety profile,Phenotype,0.0013515418461876984,98
nerve growth in children with SMA,Phenotype,0.0013515418461876984,41
SMA type II patient muscles,Tissue,0.0013515418461876984,42
motor function improvements,Phenotype,0.0013515418461876984,57
type I SMA,Phenotype,0.0013515418461876984,13
SMA severity,Phenotype,0.0013515418461876984,14
muscle growth,Phenotype,0.0013515418461876984,60
distinguish patients with 2 copies of SMN2 from those with 3 or 4 copies,Phenotype,0.0013515418461876984,10
expediting therapy initiation,Intervention,0.0013515418461876984,115
patient CSF,Phenotype,0.0013515418461876984,9
acquire previously unattainable motor skills,Phenotype,0.0013515418461876984,114
p < 0.01,StatisticalSignificance,0.0013515418461876984,112
43,Score,0.0013515418461876984,110
44.5,Score,0.0013515418461876984,111
36,Score,0.0013515418461876984,108
natural history of spinal muscular atrophy,Disease,0.0013515418461876984,106
ubiquitination degradation of YBX1,Phenotype,0.0013515418461876984,103
SMA patients without gene replacement therapy,PatientGroup,0.0013515418461876984,104
sensitive marker of change,Phenotype,0.0013515418461876984,47
fasciculation,Phenotype,0.0013515418461876984,58
SMN2 intron 7,GenomicFeature,0.0013515418461876984,62
exon 7,GenomicFeature,0.0013515418461876984,61
SMN,Gene,0.0013515418461876984,11
clinical severity,Phenotype,0.0013515418461876984,15
ddPCR,Drug,0.0013515418461876984,27
SMN1 gene deletions,Phenotype,0.0013515418461876984,25
more favorable clinical responses to treatment,Phenotype,0.0013515418461876984,73
minimally invasive biomarkers,Phenotype,0.0013515418461876984,71
home participation,Phenotype,0.0013515418461876984,28
AAV9-IGHMBP2 with CBA promoter,Drug,0.0013515418461876984,69
seven AAV 'drugs',Drug,0.0013515418461876984,117
ferroptosis,Phenotype,0.0013515418461876984,32
abnormalities in a tissue-dependent manner,Phenotype,0.0013515418461876984,33
redox imbalance,Phenotype,0.0013515418461876984,34
protein function,Phenotype,0.0013515418461876984,31
3 copies,Phenotype,0.0013515418461876984,29
"better feeding outcomes (OR: 0.740, p = 0.024)",Phenotype,0.0013515418461876984,20
all deaths (n = 8),Event,0.0013515418461876984,18
analysis of SMN1 gene deletions,Procedure,0.0013515418461876984,24
carrier screening,Procedure,0.0013515418461876984,76
two distinct diseases,Disease,0.0013515418461876984,77
motor milestone status,Phenotype,0.0013515418461876984,75
first DMT,Treatment,0.0013515418461876984,74
respiratory muscle strength,Phenotype,0.0013515418461876984,81
high reproductive risk,Risk,0.0013515418461876984,78
Maximal voluntary contraction,Phenotype,0.0013515418461876984,50
HINE-2 scores,Phenotype,0.0013515418461876984,53
RULM scores,Phenotype,0.0013515418461876984,52
HFMSE scores,Phenotype,0.0013515418461876984,52
responders from non-responders to DMT,Phenotype,0.0013515418461876984,51
"4,559 transcriptional profiles",Profile,0.0013515418461876984,118
neuronal cells,Cell,0.0013515418461876984,117
types 1 and 2,Disease,0.0013515418461876984,48
Ighmbp2(R604X/R604X) mice,AnimalModel,0.0013515418461876984,120
age at disease onset,Phenotype,0.0011962613995683414,72
CMT2S,Phenotype,0.0011185707284122855,119
Duchenne muscular dystrophy,Phenotype,0.001115533400413793,117
sustained development without swallowing or respiratory difficulties up to 3.5 years of age,Phenotype,0.0011136208339977292,0
independent walking at 2 years 11 months,Phenotype,0.0011136208339977292,0
glucocorticoid-glucocorticoid receptor (GR) signalling pathway,Pathway,0.0010937852213433242,123
metabolic homeostasis,Phenotype,0.0010937852213433242,123
test-retest reliability (TRT),Phenotype,0.0010927411018221032,88
downregulation of genes involved in lipid metabolism and liver function,Phenotype,0.0010807702205643246,39
altered expression of lipid-related proteins,Phenotype,0.0010807702205643246,39
serious liver injury,AdverseEffect,0.0010739608708150424,0
acute neuronal vulnerability,Phenotype,0.0010549997852660655,0
adults with spinal muscular atrophy (SMA),Population,0.0010512129585602459,5
disease-modifying therapies,Drug,0.0010512129585602459,5
CMAP amplitudes,Phenotype,0.0010509391142448955,109
no significant difference in age at achieving unsupported sitting,Phenotype,0.0010409809529489842,19
"no significant differences in motor function, CHOP-INTEND progression, respiratory and feeding status",Phenotype,0.0010409809529489842,19
better clinical outcome,Phenotype,0.0010409809529489842,109
SMARD1,Phenotype,0.0010409809529489842,119
aberrant splicing in SMN1 targets,Phenotype,0.0010409809529489842,80
homozygous duplication,Phenotype,0.0010409809529489842,30
CSA,Measurement,0.0010409809529489842,40
even without major motor impairment,Phenotype,0.0010409809529489842,46
simultaneous knockdown of tardbp and tardbpl,Phenotype,0.0010409809529489842,37
MN Ca(2+) responses,Phenotype,0.0010409809529489842,94
microglial activation,Phenotype,0.0010409809529489842,92
"oedema, vacuolisation and compromised endothelial integrity",Phenotype,0.0010409809529489842,91
extravascular leakage of fibrinogen into the neural parenchyma,Phenotype,0.0010409809529489842,92
effective knockdown of smn1,Phenotype,0.0010409809529489842,37
in SMA,Phenotype,0.0010409809529489842,105
glutamate release,Phenotype,0.0010409809529489842,94
fascicular structure,Anatomy,0.0010409809529489842,40
deletion of a single Smn allele,Event,0.0010409809529489842,43
feasibility of Nusinersen administration,Phenotype,0.0010409809529489842,7
DDI risk,Phenotype,0.0010409809529489842,49
plasma levels,Phenotype,0.0010409809529489842,55
CYP3A4,Protein,0.0010409809529489842,55
PK to unstudied pediatric populations,Phenotype,0.0010409809529489842,49
long-term durability and effectiveness,Phenotype,0.0010409809529489842,7
baseline,Time,0.0010409809529489842,113
neuromuscular junctions,Structure,0.0010409809529489842,43
29% of individuals,Phenotype,0.0010409809529489842,46
a biomarker for disease severity and treatment response,Phenotype,0.0010409809529489842,105
previous time point,Time,0.0010409809529489842,113
p-FOIS,Phenotype,0.0010409809529489842,72
15 human diseases,Phenotype,0.0010409809529489842,0
elevated aminotransferases,AdverseEffect,0.0010409809529489842,0
reduced within individual vascular endothelial cells,Phenotype,0.0010409809529489842,91
truncated proteins,Phenotype,0.0010409809529489842,35
tandem duplication,Phenotype,0.0010409809529489842,30
nonsense-mediated mRNA decay (NMD),Phenotype,0.0010409809529489842,35
morphological and functional deficits in spinal cord organoids,Phenotype,0.0010409809529489842,80
disease severity,Phenotype,0.0010395055262186642,57
axonal pathology,Phenotype,0.0009995728338504889,63
DNA damage accumulation,Phenotype,0.0009995728338504889,63
CHOP-INTEND total score,Phenotype,0.0009991789653717765,72
life expectancy,Phenotype,0.0009991789653717765,123
kidneys,Phenotype,0.0009700210817623026,17
impaired immune cell maturation,Phenotype,0.0009700210817623026,17
intrinsic hematopoietic defects,Phenotype,0.0009700210817623026,17
exosomal biogenesis and cargo,Phenotype,0.0009700210817623026,17
dysfunction,Phenotype,0.0009700210817623026,17
lymphoid organ development,Phenotype,0.0009700210817623026,17
defective bone marrow output,Phenotype,0.0009700210817623026,17
29.00 (14.50-50.50) at month 20,Measurement,0.0009697200172830142,72
Hammersmith Functional Motor Scale-Expanded,Assessment,0.0009697200172830142,72
34 (12.00-46.00) at baseline,Measurement,0.0009697200172830142,72
lymphoid pathology,Phenotype,0.000963986833612973,123
Charcot-Marie-Tooth disease type 2S (CMT2S),Phenotype,0.0009632902817929284,119
quality of life,Phenotype,0.0009615243380871561,5
aromatic L-amino acid decarboxylase deficiency,Phenotype,0.0009602529537944357,117
Leber's congenital amaurosis,Phenotype,0.0009602529537944357,117
hemophilia B,Phenotype,0.0009602529537944357,117
concurrent validity (CV),Phenotype,0.000937460655202746,88
tail domain,Phenotype,0.000937460655202746,79
sensitivity to change,Phenotype,0.000937460655202746,88
quality and extent of motor development,Phenotype,0.000937460655202746,5
neuroprotection,Phenotype,0.000937460655202746,84
upper limb function,Phenotype,0.000937460655202746,82
need for early intervention,Phenotype,0.000937460655202746,117
