Entity,Type,PageRank,Community_ID
Spinal Muscular Atrophy,Disease,0.07502623142976089,9
motor function,Phenotype,0.007578075540288601,8
muscle weakness,Phenotype,0.0045780252749672784,0
SMA phenotype,Disease,0.0038534509769474583,16
motor neuron degeneration,Phenotype,0.003764843633024461,10
SMN,Protein,0.0035756376087007855,17
SMN protein,Protein,0.0033988101956542835,7
SMN1,Gene,0.002694145193144627,1
Nusinersen,Drug,0.0026326527735821195,13
survival,Phenotype,0.0025593560470782055,6
HFMSE score,Phenotype,0.0020485438249921435,19
SMA type 2,Phenotype,0.0018569550570352957,16
quality of life,Phenotype,0.0017901492950221554,15
disease progression,Phenotype,0.0016250196181457996,8
treatment,Drug,0.0015697177150609185,13
motor dysfunction,Phenotype,0.0014581185175889261,17
respiratory failure,Phenotype,0.0014411790873876883,15
RRTIs and/or ARF,Disease,0.0013224371051543148,8
SMN expression,Gene,0.0012686889126246313,1
SMN2 exon 7 inclusion,Phenotype,0.0012612204410991678,7
SMN1 deletion,Variant,0.0011127548016419467,1
disease severity,Phenotype,0.0010997107962941765,8
scoliosis,Phenotype,0.001097067242585115,8
motor scores,Phenotype,0.0010868212963475248,8
premature death,Phenotype,0.0010569947411541141,10
fatigability,Phenotype,0.0010405736458447556,15
MFM-32 total score,Phenotype,0.0010320441799213892,8
hospitalization rate,Phenotype,0.001026873825650592,15
SMA severity,Phenotype,0.0009896565448486913,1
Hirayama disease,Disease,0.0009420290281498288,10
motor function improvement,Phenotype,0.0009294870286938899,19
neuromuscular junction dysfunction,Phenotype,0.000885726395382032,6
neurodegeneration,Phenotype,0.0008814273684815159,17
walking support,Phenotype,0.0008588347169733893,16
SMARD1,Disease,0.000858023987287525,5
motor neuron survival,Phenotype,0.0008548696714376155,6
mortality,Phenotype,0.000852711733733403,15
hip pain,Phenotype,0.0008509902321302285,16
neuroinflammation,Phenotype,0.000840812204309341,8
death,Phenotype,0.0008340658191346296,18
dislocated hips,Phenotype,0.0008181029340074822,16
