Novel_Gene,Relation_Type,Context_Entity,Evidence_PMIDs,Number_of_Mentions,Confidence_Score
AAV9,TREAT,spinal muscular atrophy,41835941,1,0.9
FECH,SIGNIFICANTLY_ALTERED,SMA,41809904,1,0.9
SMN,SIGNIFICANTLY_ALTERED,SMA,41809904,1,0.9
SMN-targeted interventions,TARGETS,SMA,41789956,1,0.9
SMN1 exon 7,DELETION_ASSOCIATED_WITH,SMA,41773285,1,0.9
NAIP exon 5,DELETION_ASSOCIATED_WITH,type I SMA,41773285,1,0.9
SMN1 gene,CAUSED_BY_LOSS_OF,SMA,41303705,1,0.9
survival motor neuron 1 gene,CAUSES,spinal muscular atrophy,41299848,1,0.9
SMN1 gene,INVOLVES,SMA,41247685,1,0.9
leptin protein,ALTERED,SMA,41247344,1,0.9
